sn,order_line_key,order_no,zip_code,locId,CAR_NAME,TNT,TRACKNO,CPD,SHIPTIME,MCD,DELIVER_TIME
137,20210102160936063804221Y,1121002927620CC,91784,ABC_82335000473013,DL,4,LM8W2R150310607889,12/01/21,2021-01-04 14:38:26+00:00,DELIVERED,2021-01-08 11:11:55+00:00
138,20210103172609199628381Y,ABC01-806409205947CC,92103,ABC_82335000473013,DL,4,LM8W2R150310613434,12/01/21,2021-01-04 19:57:20+00:00,DELIVERED,2021-01-08 17:25:15+00:00
139,20210103204010390723581Y,ABC01-806409287759CC,95624,ABC_82335000473013,DL,5,LM8W2R150310615496,12/01/21,2021-01-04 20:00:50+00:00,DELIVERED,2021-01-08 13:03:42+00:00
140,20210108093848727875281Y,ABC01-806411527641CC,20854,ABC_82335000473013,DL,3,LMF5Y4980382711711,12/01/21,2021-01-08 21:02:45+00:00,DELIVERED,2021-01-12 09:57:06+00:00
141,20210108093848727875281Y,ABC01-806411527641CC,20854,ABC_82335000473013,DL,3,LM81Y8100383741270,12/01/21,2021-01-11 20:50:14+00:00,DELIVERED,2021-01-13 09:36:13+00:00
142,20210108093848727875281Y,ABC01-806411527641CC,20854,ABC_82335000473013,DL,3,LMF5Y4980379704753,12/01/21,2021-01-08 21:02:04+00:00,DELIVERED,2021-01-12 09:57:06+00:00
143,20210101152140980376141Y,ABC01-806407678250CC,90021,ABC_82335000473013,DL,4,LM8W2R150310610526,12/01/21,2021-01-04 13:39:16+00:00,DELIVERED,2021-01-08 11:12:23+00:00
144,20201231201841984078371Y,ABC01-806407139444CC,10031,ABC_82335000473013,DL,4,LM8W2R150310602473,12/01/21,2021-01-04 13:51:11+00:00,DELIVERED,2021-01-07 12:13:05+00:00
145,20201231184935903478391Y,ABC01-806407057568CC,92867,ABC_82335000473013,DL,4,LM8W2R150310606782,12/01/21,2021-01-04 14:17:32+00:00,DELIVERED,2021-01-08 12:15:48+00:00
146,20210106091326406824491Y,ABC01-806410459284CC,92880,ABC_824390009370862,DL,4,LM8X1R120200534009,12/01/21,2021-01-08 20:29:02+00:00,DELIVERED,2021-01-12 10:52:22+00:00
147,20210104022836588279681Y,ABC01-806409412372CC,91786,ABC_82335000473013,DL,4,LM8W2R150310613489,12/01/21,2021-01-04 20:13:01+00:00,DELIVERED,2021-01-08 13:34:39+00:00
148,20210102222933187631851Y,ABC01-806408637023CC,92869,ABC_82335000473013,DL,4,LM8W2R150310610428,12/01/21,2021-01-04 13:40:57+00:00,DELIVERED,2021-01-08 11:19:15+00:00
149,20210102155940623910381Y,ABC01-806408509928CC,30038,ABC_82335000473013,DL,3,LM8W2R150310610213,12/01/21,2021-01-04 12:03:15+00:00,DELIVERED,2021-01-07 17:38:22+00:00
150,20210103204315394525971Y,ABC01-806409283866CC,95624,ABC_82335000473013,DL,5,LM8W2R150310613041,12/01/21,2021-01-04 20:15:47+00:00,DELIVERED,2021-01-08 13:03:42+00:00
151,20201231212746132226781Y,ABC01-806407120980CC,94530,ABC_82335000473013,DL,5,LM8W2R150310605023,12/01/21,2021-01-04 13:45:55+00:00,DELIVERED,2021-01-06 16:35:00+00:00
152,20210105085223590556221Y,ABC01-806410026178CC,10002,ABC_824390009370862,DL,3,LM8X1R120300536998,12/01/21,2021-01-08 19:13:13+00:00,DELIVERED,2021-01-12 10:52:19+00:00
153,20210106062133278099391Y,ABC01-806410458368CC,76060,ABC_82335000473013,DL,2,LM3Y5R480303769968,12/01/21,2021-01-06 20:31:59+00:00,DELIVERED,2021-01-08 12:46:15+00:00
154,20210109164556180605241Y,ABC01-806411947423CC,76021,ABC_82335000473013,DL,2,LMRE29690344530300,12/01/21,2021-01-11 16:48:28+00:00,DELIVERED,2021-01-12 15:39:52+00:00
155,20210107083312912264191Y,ABC01-806410864322CC,30097,ABC_824390009370862,DL,2,LM0A49840350486752,12/01/21,2021-01-08 15:43:55+00:00,DELIVERED,2021-01-13 16:36:28+00:00
156,20210102144141490519521Y,ABC01-806408441225CC,94568,ABC_82335000473013,DL,5,LM8W2R150310608173,12/01/21,2021-01-04 14:15:29+00:00,DELIVERED,2021-01-06 18:47:46+00:00
157,20210102161557654323631Y,ABC01-806408549144CC,11758,ABC_82335000473013,DL,4,LM8W2R150310611427,12/01/21,2021-01-04 13:12:00+00:00,DELIVERED,2021-01-07 16:09:32+00:00
158,20210108100550077887351Y,1121008666267CC,32128,ABC_82335000473013,DL,3,LMW491430308536151,12/01/21,2021-01-08 19:54:00+00:00,DELIVERED,2021-01-12 18:24:39+00:00
159,20210105150834330638671Y,ABC01-806410262921CC,90065,ABC_824390009370862,DL,4,LM8X1R121300534800,12/01/21,2021-01-08 19:13:49+00:00,DELIVERED,2021-01-11 12:09:18+00:00
160,20210105015553378586331Y,ABC01-806410002814CC,10013,ABC_824390009370862,DL,3,LM8X1R120300537139,12/01/21,2021-01-08 19:13:32+00:00,DELIVERED,2021-01-12 16:56:51+00:00
161,20210101164945227878641Y,ABC01-806407769035CC,92604,ABC_82335000473013,DL,4,LM8W2R150310603918,12/01/21,2021-01-04 12:00:13+00:00,DELIVERED,2021-01-08 15:00:51+00:00
162,20210105113803861682461Y,ABC01-806410166848CC,10022,ABC_824390009370862,DL,3,LM8X1R120300541660,12/01/21,2021-01-11 19:16:42+00:00,DELIVERED,2021-01-13 16:37:15+00:00
163,20210102003853651031321Y,ABC01-806408057419CC,95020,ABC_82335000473013,DL,5,LM8W2R150310605283,12/01/21,2021-01-04 12:15:23+00:00,DELIVERED,2021-01-06 18:05:19+00:00
164,20210102143939484070381Y,ABC01-806408425343CC,92126,ABC_82335000473013,DL,4,LM8W2R150310603267,12/01/21,2021-01-04 12:55:05+00:00,DELIVERED,2021-01-08 09:43:44+00:00
165,20210102134633389125731Y,ABC01-806408388324CC,91741,ABC_82335000473013,DL,4,LM8W2R150310610759,12/01/21,2021-01-04 13:32:10+00:00,DELIVERED,2021-01-08 14:46:28+00:00
166,20210106113504602029811Y,ABC01-806410515466CC,76016,ABC_824390009370862,DL,2,LM8X1R120300537586,12/01/21,2021-01-08 19:13:30+00:00,DELIVERED,2021-01-12 13:55:27+00:00
167,20201231204431103873631Y,ABC01-806407114776CC,94559,ABC_82335000473013,DL,5,LM8W2R150310610473,12/01/21,2021-01-04 11:49:29+00:00,DELIVERED,2021-01-06 13:58:02+00:00
168,20210102024719702830761Y,ABC01-806408163036CC,30097,ABC_82335000473013,DL,3,LM8W2R150310607610,12/01/21,2021-01-04 11:53:32+00:00,DELIVERED,2021-01-07 14:57:49+00:00
169,20210103010753287029331Y,ABC01-806408801985CC,10075,ABC_82335000473013,DL,4,LM8W2R150310609878,12/01/21,2021-01-04 11:52:05+00:00,FAILED_DELIVERY_ATTEMPT,2021-01-07 16:17:54+00:00
170,20210102212905141980671Y,ABC01-806408313105CC,95621,ABC_82335000473013,DL,5,LM8W2R150310608208,12/01/21,2021-01-04 14:34:10+00:00,DELIVERED,2021-01-06 14:52:10+00:00
171,20210101202006491220831Y,ABC01-806407972206CC,91791,ABC_82335000473013,DL,4,LM8W2R150310601303,12/01/21,2021-01-04 13:15:39+00:00,DELIVERED,2021-01-08 13:56:48+00:00
172,20210101184327396882121Y,ABC01-806407814997CC,92067,ABC_82335000473013,DL,4,LM8W2R150310606102,12/01/21,2021-01-04 13:43:46+00:00,DELIVERED,2021-01-08 12:41:31+00:00
173,20210109135214785901921Y,ABC01-806412001027CC,10024,ABC_82335000473013,DL,4,LM2V07890387449021,12/01/21,2021-01-12 00:42:41+00:00,DELIVERED,2021-01-12 16:49:24+00:00
174,20210109135214785901921Y,ABC01-806412001027CC,10024,ABC_82335000473013,DL,4,LMW490241301147960,12/01/21,2021-01-11 20:18:29+00:00,DELIVERED,2021-01-12 16:49:27+00:00
175,20210109135214785901921Y,ABC01-806412001027CC,10024,ABC_82335000473013,DL,4,LMW0R1041366954563,12/01/21,2021-01-11 21:38:16+00:00,DELIVERED,2021-01-12 16:49:26+00:00
176,20210103140556827339041Y,ABC01-806409095404CC,91311,ABC_82335000473013,DL,4,LM8W2R150310616762,12/01/21,2021-01-04 19:48:24+00:00,DELIVERED,2021-01-08 11:47:16+00:00
177,20210101115226614413631Y,ABC01-806407480902CC,92661,ABC_82335000473013,DL,4,LM8W2R150310609823,12/01/21,2021-01-04 13:27:42+00:00,DELIVERED,2021-01-11 11:58:44+00:00
178,20210108231201986629421Y,ABC01-806411640985CC,76016,ABC_82335000473013,DL,2,LMR120E40384322922,13/01/21,2021-01-11 17:08:19+00:00,DELIVERED,2021-01-13 16:21:33+00:00
179,20210108231201986629421Y,ABC01-806411640985CC,76016,ABC_82335000473013,DL,2,LMW493040358873601,13/01/21,2021-01-11 17:59:38+00:00,DELIVERED,2021-01-12 15:33:32+00:00
180,20210103014213303596341Y,ABC01-806408860323CC,11757,ABC_824390009370862,DL,3,LM8X1R120300526007,13/01/21,2021-01-07 22:00:00+00:00,DELIVERED,2021-01-09 17:14:30+00:00
181,20210102222647186401001Y,ABC01-806408683482CC,92109,ABC_824390009370862,DL,4,LM8X1R120300529497,13/01/21,2021-01-08 19:17:57+00:00,DELIVERED,2021-01-13 11:53:17+00:00
182,20210104222412227797991Y,ABC01-806409920322CC,92105,ABC_82335000473013,DL,4,LM8W2R150310618493,13/01/21,2021-01-05 19:25:15+00:00,DELIVERED,2021-01-09 19:06:27+00:00
183,20210103153446952562701Y,ABC01-806409170407CC,90034,ABC_824390009370862,DL,4,LM8X1R120300525991,13/01/21,2021-01-07 21:03:41+00:00,DELIVERED,2021-01-12 15:31:53+00:00
184,20210103103357547173331Y,ABC01-806408918168CC,95665,ABC_824390009370862,DL,5,LM8X1R120300525400,13/01/21,2021-01-07 21:31:17+00:00,DELIVERED,2021-01-14 11:26:01+00:00
185,20210105011120355011051Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
186,20210103091421475997941Y,ABC01-806408878965CC,92835,ABC_824390009370862,DL,4,LM8X1R120300537095,13/01/21,2021-01-08 19:03:17+00:00,DELIVERED,2021-01-13 09:56:14+00:00
187,20210107101117124110611Y,ABC01-806410899211CC,92025,ABC_824390009370862,DL,4,LM8X1R120200536758,13/01/21,2021-01-08 19:03:57+00:00,DELIVERED,2021-01-12 13:30:22+00:00
188,20210104213229182178261Y,ABC01-806409935919CC,11729,ABC_82335000473013,DL,4,LM8W2R150310630219,13/01/21,2021-01-07 19:16:11+00:00,DELIVERED,2021-01-12 13:02:18+00:00
189,20210104182904854660311Y,ABC01-806409821147CC,92618,ABC_82335000473013,DL,4,LM8W2R150310618484,13/01/21,2021-01-05 19:27:36+00:00,DELIVERED,2021-01-11 11:30:22+00:00
190,20210104193629952041521Y,ABC01-806409914917CC,92064,ABC_82335000473013,DL,4,LM8W2R150310619410,13/01/21,2021-01-05 19:26:19+00:00,DELIVERED,2021-01-09 15:17:08+00:00
191,20210104161513610280871Y,ABC01-806403770292CC,90045,ABC_82335000473013,DL,4,LM8W2R150310618126,13/01/21,2021-01-05 19:11:37+00:00,DELIVERED,2021-01-09 15:59:02+00:00
192,20210103113316617919711Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120300525339,13/01/21,2021-01-07 21:35:43+00:00,DELIVERED,2021-01-12 14:22:33+00:00
193,20210111142225713094311Y,ABC01-806412584068CC,92808,ABC_82335000473013,DL,4,LM2R7V77YN81273716,13/01/21,2021-01-12 23:47:24+00:00,DELIVERED,2021-01-13 14:50:46+00:00
194,20210101005051238872511Y,ABC01-806407282000CC,94534,ABC_824390009370862,DL,5,LM8X1R120300527220,13/01/21,2021-01-08 01:26:52+00:00,DELIVERED,2021-01-13 18:01:12+00:00
195,20210103164053141073271Y,ABC01-806409097994CC,90021,ABC_824390009370862,DL,4,LM8X1R120300527453,13/01/21,2021-01-07 19:36:48+00:00,DELIVERED,2021-01-13 15:29:56+00:00
196,20210108192056786134251Y,ABC01-806411680496CC,91304,ABC_82335000473013,DL,4,LM8W2R151310636016,13/01/21,2021-01-11 19:44:20+00:00,DELIVERED,2021-01-12 11:53:46+00:00
197,20210105045935445597531Y,ABC01-806410031301CC,94577,ABC_82335000473013,DL,5,LM8W2R150310617903,13/01/21,2021-01-05 19:07:47+00:00,DELIVERED,2021-01-09 11:10:11+00:00
198,20210105011120355011071Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
199,20210102003519650233731Y,ABC01-806408097411CC,92653,ABC_824390009370862,DL,4,LM8X1R120300535284,13/01/21,2021-01-08 19:13:40+00:00,DELIVERED,2021-01-13 12:27:22+00:00
200,20210102234638239946291Y,ABC01-806408745524CC,94523,ABC_824390009370862,DL,5,LM8X1R120300531840,13/01/21,2021-01-08 19:07:52+00:00,DELIVERED,2021-01-15 10:21:22+00:00
201,20210103003001264191021Y,ABC01-806408743652CC,92886,ABC_824390009370862,DL,4,LM8X1R120300533124,13/01/21,2021-01-08 19:01:31+00:00,DELIVERED,2021-01-13 10:56:01+00:00
202,20210102222440185541301Y,ABC01-806408720305CC,92831,ABC_824390009370862,DL,4,LM8X1R120300535328,13/01/21,2021-01-08 19:15:11+00:00,DELIVERED,2021-01-13 17:52:16+00:00
203,20210105185949713415141Y,ABC01-806410312255CC,94518,ABC_82335000473013,DL,5,LMW493040352013336,13/01/21,2021-01-07 17:47:30+00:00,DELIVERED,2021-01-12 15:02:38+00:00
204,20210105185949713415141Y,ABC01-806410312255CC,94518,ABC_82335000473013,DL,5,LMW49304YW31450753,13/01/21,2021-01-06 20:44:50+00:00,DELIVERED,2021-01-11 13:50:43+00:00
205,20210112123109139720401Y,ABC01-806412937837CC,10009,ABC_82335000473013,DL,4,LM2V07891362952942,13/01/21,2021-01-12 19:47:07+00:00,DELIVERED,2021-01-13 16:26:40+00:00
206,20210103205657403547391Y,ABC01-806409318012CC,91755,ABC_824390009370862,DL,4,LM8X1R120300532821,13/01/21,2021-01-08 19:04:36+00:00,DELIVERED,2021-01-13 13:04:24+00:00
207,20210103113316617919491Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120300525339,13/01/21,2021-01-07 21:35:43+00:00,DELIVERED,2021-01-12 14:22:33+00:00
208,20210104221519220533711Y,ABC01-806409525495CC,92802,ABC_82335000473013,DL,4,LM8W2R150310620391,13/01/21,2021-01-05 19:05:19+00:00,DELIVERED,2021-01-11 13:26:44+00:00
209,20210104210549153253821Y,ABC01-806409917475CC,11743,ABC_82335000473013,DL,4,LM8W2R150310620506,13/01/21,2021-01-05 20:04:59+00:00,DELIVERED,2021-01-08 15:48:50+00:00
210,20210105011120355011021Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
211,20210105011120355010921Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
212,20210103014309303756211Y,ABC01-806408843146CC,92153,ABC_824390009370862,DL,4,LM8X1R120300525893,13/01/21,2021-01-11 18:21:48+00:00,DELIVERED,2021-01-12 10:48:45+00:00
213,20210103165958163037061Y,ABC01-806409176564CC,95032,ABC_824390009370862,DL,5,LM8X1R120300531975,13/01/21,2021-01-08 19:21:26+00:00,DELIVERED,2021-01-15 18:24:18+00:00
214,20210104183337863621481Y,ABC01-806409863215CC,95070,ABC_82335000473013,DL,5,LM8W2R150310628491,13/01/21,2021-01-07 20:53:21+00:00,DELIVERED,2021-01-12 13:46:24+00:00
215,20210109155001985723331Y,ABC01-806412048917CC,10033,ABC_82335000473013,DL,4,LMV7855E0333802503,13/01/21,2021-01-11 21:04:06+00:00,DELIVERED,2021-01-13 13:32:36+00:00
216,20210102162950675846511Y,ABC01-806391855042CC,92869,ABC_824390009370862,DL,4,LM8X1R120300537200,13/01/21,2021-01-08 19:03:20+00:00,DELIVERED,2021-01-13 14:27:54+00:00
217,20210103212335424856961Y,ABC01-806409279271CC,92656,ABC_824390009370862,DL,4,LM8X1R120300531680,13/01/21,2021-01-08 19:09:54+00:00,DELIVERED,2021-01-13 15:04:09+00:00
218,20210103113316617919681Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120300525339,13/01/21,2021-01-07 21:35:43+00:00,DELIVERED,2021-01-12 14:22:33+00:00
219,20210105011120355011091Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
220,20210111143959739011271Y,ABC01-806412672733CC,22134,ABC_82335000473013,DL,3,LMRR41400386479126,13/01/21,2021-01-12 18:36:59+00:00,DELIVERED,2021-01-13 18:24:05+00:00
221,20210103082135442100101Y,ABC01-806408924012CC,91761,ABC_824390009370862,DL,4,LM8X1R120300532910,13/01/21,2021-01-08 19:03:07+00:00,DELIVERED,2021-01-13 12:00:59+00:00
222,20210104151751499662731Y,ABC01-806404740056CC,94568,ABC_82335000473013,DL,5,LM8W2R150310617949,13/01/21,2021-01-05 20:13:29+00:00,DELIVERED,2021-01-09 12:20:52+00:00
223,20210107083312912264191Y,ABC01-806410864322CC,30097,ABC_824390009370862,DL,2,LM8X1R120300535122,13/01/21,2021-01-08 19:14:03+00:00,DELIVERED,2021-01-09 13:17:54+00:00
224,20210102210416121796981Y,ABC01-806408634509CC,92082,ABC_824390009370862,DL,4,LM8X1R120300533339,13/01/21,2021-01-08 19:21:05+00:00,DELIVERED,2021-01-13 16:56:15+00:00
225,20210101185751411653371Y,ABC01-806407881120CC,91761,ABC_824390009370862,DL,4,LM8X1R120300531797,13/01/21,2021-01-08 19:21:20+00:00,DELIVERED,2021-01-13 12:19:08+00:00
226,20210103175847236768341Y,ABC01-806409181582CC,91790,ABC_824390009370862,DL,4,LM8X1R120300532518,13/01/21,2021-01-08 19:00:29+00:00,DELIVERED,2021-01-13 14:44:39+00:00
227,20210103211540418743721Y,ABC01-806409270993CC,94585,ABC_824390009370862,DL,5,LM8X1R120300527373,13/01/21,2021-01-07 21:32:55+00:00,DELIVERED,2021-01-14 13:48:48+00:00
228,20210103141627843023721Y,ABC01-806409101210CC,91732,ABC_824390009370862,DL,4,LM8X1R120300526758,13/01/21,2021-01-07 21:26:23+00:00,DELIVERED,2021-01-12 19:44:37+00:00
229,20210103134807801071721Y,ABC01-806408977091CC,92649,ABC_824390009370862,DL,4,LM8X1R120300531706,13/01/21,2021-01-08 19:09:01+00:00,DELIVERED,2021-01-13 10:54:56+00:00
230,20210105011120355011081Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
231,20210105011120355011061Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LM3772AW0336177198,13/01/21,2021-01-08 15:03:25+00:00,DELIVERED,2021-01-09 13:21:40+00:00
232,20210111173623142975561Y,ABC01-806412701671CC,10019,ABC_82335000473013,DL,4,LMF57Y530386569967,13/01/21,2021-01-12 20:36:28+00:00,DELIVERED,2021-01-13 18:04:25+00:00
233,20210103205657403547341Y,ABC01-806409318012CC,91755,ABC_824390009370862,DL,4,LM8X1R120300532821,13/01/21,2021-01-08 19:04:36+00:00,DELIVERED,2021-01-13 13:04:24+00:00
234,20210102011222667316321Y,ABC01-806408071940CC,90007,ABC_824390009370862,DL,4,LM8X1R120300537460,13/01/21,2021-01-08 19:13:27+00:00,DELIVERED,2021-01-13 15:38:53+00:00
235,20210104152313511669571Y,ABC01-806403822588CC,92627,ABC_82335000473013,DL,4,LM8W2R150310620819,13/01/21,2021-01-05 19:44:48+00:00,DELIVERED,2021-01-09 14:51:06+00:00
236,20210107053557810880011Y,ABC01-806410816951CC,22153,ABC_824390009370862,DL,2,LM8X1R120300538530,13/01/21,2021-01-08 19:12:00+00:00,DELIVERED,2021-01-13 12:10:18+00:00
237,20210102214248154804451Y,ABC01-806408628396CC,90025,ABC_824390009370862,DL,4,LM8X1R120300533955,13/01/21,2021-01-08 19:15:06+00:00,DELIVERED,2021-01-13 12:28:30+00:00
238,20210104221405220016461Y,ABC01-806409930548CC,11755,ABC_82335000473013,DL,4,LM8W2R150310620122,13/01/21,2021-01-05 19:53:36+00:00,DELIVERED,2021-01-08 14:19:16+00:00
239,20210109162604147599411Y,ABC01-806404740056CC,94568,ABC_82335000473013,DL,5,LM8W2R150310617949,13/01/21,2021-01-05 20:13:29+00:00,DELIVERED,2021-01-09 12:20:52+00:00
240,20210109135214785901921Y,ABC01-806412001027CC,10024,ABC_82335000473013,DL,4,LM8W2R151310635964,13/01/21,2021-01-11 19:42:20+00:00,DELIVERED,2021-01-12 16:49:24+00:00
241,20210103113316617919741Y,ABC01-806408916598CC,92835,ABC_824390009370862,DL,4,LM8X1R120300525339,13/01/21,2021-01-07 21:35:43+00:00,DELIVERED,2021-01-12 14:22:33+00:00
242,20210110123224174169121Y,ABC01-806412252418CC,92692,ABC_82335000473013,DL,4,LMV7855E0214867713,13/01/21,2021-01-11 21:41:10+00:00,DELIVERED,2021-01-13 11:35:28+00:00
243,20210108231201986629421Y,ABC01-806411640985CC,76016,ABC_82335000473013,DL,2,LM8W2R150310640422,14/01/21,2021-01-11 20:20:29+00:00,DELIVERED,2021-01-12 15:33:32+00:00
244,20210108163002518362991Y,ABC01-806410457311CC,92845,ABC_82335000473013,DL,4,LM8381X00314250442,14/01/21,2021-01-11 16:24:04+00:00,DELIVERED,2021-01-13 13:53:55+00:00
245,20210111164009945942651Y,ABC01-806412726109CC,30076,ABC_82335000473013,DL,3,LM8W2R151310651017,14/01/21,2021-01-12 19:44:46+00:00,DELIVERED,2021-01-13 10:44:57+00:00
246,20210105011120355011051Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LMWF35400376002937,14/01/21,2021-01-05 18:45:45+00:00,DELIVERED,2021-01-09 13:21:40+00:00
247,20210108163002518363531Y,ABC01-806410457311CC,92845,ABC_82335000473013,DL,4,LM8381X00314250442,14/01/21,2021-01-11 16:24:04+00:00,DELIVERED,2021-01-13 13:53:55+00:00
248,20210108200302829392701Y,ABC01-806411724649CC,92120,ABC_82335000473013,DL,4,LM8W2R150210646955,14/01/21,2021-01-11 20:08:02+00:00,DELIVERED,2021-01-13 11:47:45+00:00
249,20210108183439725429751Y,ABC01-806411703659CC,32128,ABC_82335000473013,DL,3,LM8W2R150210641647,14/01/21,2021-01-11 20:26:28+00:00,DELIVERED,2021-01-13 16:27:40+00:00
250,20210109101410080615981Y,1121009711269CC,22192,ABC_824390009370862,DL,2,LM8X1R121300545969,14/01/21,2021-01-11 19:17:54+00:00,DELIVERED,2021-01-12 16:50:14+00:00
251,20210109140016082004901Y,1121009734397CC,92886,ABC_82335000473013,DL,4,LM8W2R150210636126,14/01/21,2021-01-11 12:18:19+00:00,DELIVERED,2021-01-13 14:01:04+00:00
252,20210109132542081736221Y,1121009729891CC,92866,ABC_82335000473013,DL,4,LM8W2R150210645358,14/01/21,2021-01-11 20:07:45+00:00,DELIVERED,2021-01-13 15:24:36+00:00
253,20210108153713424952171Y,ABC01-806411638706CC,30041,ABC_82335000473013,DL,3,LM8W2R150210641834,14/01/21,2021-01-11 20:37:40+00:00,DELIVERED,2021-01-13 13:13:13+00:00
254,20210110190950691104511Y,ABC01-806412435422CC,20852,ABC_82335000473013,DL,3,LMV7855E0322519788,14/01/21,2021-01-12 17:33:21+00:00,DELIVERED,2021-01-14 13:07:22+00:00
255,20210105011120355011071Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LMWF35400376002937,14/01/21,2021-01-05 18:45:45+00:00,DELIVERED,2021-01-09 13:21:40+00:00
256,20210105132523152019741Y,ABC01-806410191652CC,90046,ABC_82335000473013,DL,4,LM8W2R150310621185,14/01/21,2021-01-05 19:46:43+00:00,DELIVERED,2021-01-09 16:29:42+00:00
257,20210108163002518363751Y,ABC01-806410457311CC,92845,ABC_82335000473013,DL,4,LM8381X00314250442,14/01/21,2021-01-11 16:24:04+00:00,DELIVERED,2021-01-13 13:53:55+00:00
258,20210111221324377967721Y,ABC01-806412763531CC,94534,ABC_82335000473013,DL,5,LMR32Y88YN93728847,14/01/21,2021-01-12 20:47:21+00:00,DELIVERED,2021-01-13 16:51:30+00:00
259,20210111221324377967721Y,ABC01-806412763531CC,94534,ABC_82335000473013,DL,5,LM86V803YW13227172,14/01/21,2021-01-12 18:08:31+00:00,DELIVERED,2021-01-13 16:51:30+00:00
260,20210110132422245972181Y,ABC01-806412253941CC,91709,ABC_82335000473013,DL,4,LM8W2R150210641692,14/01/21,2021-01-11 20:31:33+00:00,DELIVERED,2021-01-13 12:55:16+00:00
261,20210110140541304526611Y,ABC01-806412327712CC,30016,ABC_82335000473013,DL,3,LM8W2R150210645232,14/01/21,2021-01-11 20:20:38+00:00,DELIVERED,2021-01-13 16:00:37+00:00
262,20210110152222414276201Y,ABC01-806412340609CC,95695,ABC_82335000473013,DL,5,LM8W2R150210639427,14/01/21,2021-01-11 21:00:08+00:00,DELIVERED,2021-01-13 16:00:11+00:00
263,20210111043800112225971Y,ABC01-806412494749CC,91710,ABC_82335000473013,DL,4,LM8W2R150210647516,14/01/21,2021-01-11 20:02:45+00:00,DELIVERED,2021-01-13 14:37:57+00:00
264,20210109132412737356711Y,ABC01-806411891568CC,92867,ABC_82335000473013,DL,4,LM8W2R150310650064,14/01/21,2021-01-12 01:39:24+00:00,DELIVERED,2021-01-14 16:17:50+00:00
265,20210109110534509518401Y,ABC01-806411849938CC,92071,ABC_82335000473013,DL,4,LM8W2R150310640799,14/01/21,2021-01-11 20:42:30+00:00,DELIVERED,2021-01-13 15:09:41+00:00
266,20210113151714877596901Y,ABC01-806412286331CC,89135,ABC_82335000473013,DL,4,LM8W2R150210638231,14/01/21,2021-01-11 19:54:24+00:00,DELIVERED,2021-01-13 11:57:14+00:00
267,20210108150533370609071Y,ABC01-806411596862CC,92037,ABC_82335000473013,DL,4,LM8W2R150210647525,14/01/21,2021-01-11 20:10:17+00:00,DELIVERED,2021-01-13 15:33:45+00:00
268,20210108093848727875281Y,ABC01-806411527641CC,20854,ABC_82335000473013,DL,3,LM8W2R150310645132,14/01/21,2021-01-11 20:34:51+00:00,DELIVERED,2021-01-14 10:11:28+00:00
269,20210111221407380530721Y,ABC01-806412767343CC,92802,ABC_82335000473013,DL,4,LM8W2R151310651160,14/01/21,2021-01-12 19:39:46+00:00,DELIVERED,2021-01-13 09:44:54+00:00
270,20210105011120355011021Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LMWF35400376002937,14/01/21,2021-01-05 18:45:45+00:00,DELIVERED,2021-01-09 13:21:40+00:00
271,20210105011120355010921Y,ABC01-806409923472CC,91320,ABC_82335000473013,DL,4,LMWF35400376002937,14/01/21,2021-01-05 18:45:45+00:00,DELIVERED,2021-01-09 13:21:40+00:00
272,20210102110744117344161Y,ABC01-806408224571CC,92683,ABC_82335000473013,DL,4,LM8W2R150310603141,14/01/21,2021-01-04 12:30:18+00:00,DELIVERED,2021-01-08 14:17:34+00:00
273,20210104154258550332111Y,ABC01-806409726981CC,95694,ABC_824390009370862,DL,5,LM8X1R120300528185,14/01/21,2021-01-08 19:16:17+00:00,DELIVERED,2021-01-15 13:03:18+00:00
274,20210109181147316999551Y,ABC01-806412039165CC,91710,ABC_82335000473013,DL,4,LM8W2R150210646213,14/01/21,2021-01-11 20:14:09+00:00,DELIVERED,2021-01-13 11:20:19+00:00
